"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Schmidt, Clarke",657376,"NYY","FC","Cutter",0.8,4,"496",40.5,"115","0.245","0.429","0.338",23.8,14.8,14.3,"0.227","0.38","0.313",36.1
"Sousa, Bennett",656986,"HOU","SL","Slider",2.1,9,"423",58.1,"115","0.147","0.275","0.205",49.8,44.3,34.2,"0.136","0.266","0.197",39.7
"Burke, Sean",680732,"CWS","CU","Curveball",0.5,3,"563",23.7,"115","0.21","0.343","0.306",27.1,28.7,19.5,"0.263","0.452","0.344",45.8
"Quantrill, Cal",615698,"ATL","FS","Split-Finger",-1.9,-8,"420",21,"115","0.268","0.455","0.324",23.9,18.3,11.5,"0.279","0.439","0.317",41.8
"Helsley, Ryan",664854,"NYM","SL","Slider",2.5,12,"464",47.4,"115","0.14","0.206","0.179",41.6,37.4,24.9,"0.166","0.234","0.192",26.9
"Sánchez, Cristopher",650911,"PHI","SL","Slider",0.1,0,"481",16.6,"114","0.252","0.477","0.323",33.6,22.8,19.4,"0.248","0.467","0.318",32.5
"Bido, Osvaldo",674370,"ATH","SL","Slider",-0.6,-3,"411",29.8,"114","0.252","0.553","0.36",34.1,30.7,22,"0.245","0.541","0.355",45.7
"Ortiz, Luis L.",682847,"CLE","FF","4-Seam Fastball",-0.3,-1,"441",29.4,"114","0.242","0.4","0.354",32.3,31.6,25.4,"0.236","0.449","0.357",50.8
"Rutledge, Jackson",671131,"WSH","SI","Sinker",-1.4,-6,"423",31.6,"114","0.357","0.582","0.431",11,7.9,11.5,"0.316","0.526","0.392",59.1
"Young, Brandon",687064,"BAL","FF","4-Seam Fastball",0.4,2,"411",43.8,"114","0.277","0.396","0.323",18.8,17.5,18.7,"0.243","0.407","0.31",42.9
"Hader, Josh",623352,"HOU","SI","Sinker",0.7,3,"459",54.2,"114","0.163","0.429","0.298",30.6,29.8,21.8,"0.164","0.339","0.272",36.4
"Keller, Brad",641745,"CHC","FF","4-Seam Fastball",1.8,9,"474",42.6,"114","0.208","0.292","0.294",17.4,21.1,20.5,"0.226","0.37","0.324",36.1
"Webb, Jacob",657097,"TEX","FF","4-Seam Fastball",1.7,8,"435",44.5,"113","0.186","0.289","0.281",22.8,23,19.4,"0.208","0.342","0.296",43.1
"Skenes, Paul",694973,"PIT","ST","Sweeper",1.9,9,"476",15.9,"113","0.15","0.215","0.195",32.9,30.1,20.6,"0.174","0.258","0.213",19.2
"Williams, Gavin",668909,"CLE","FC","Cutter",0.3,1,"410",14,"113","0.233","0.433","0.384",18.2,6.2,10,"0.276","0.458","0.392",49.4
"Morales, Luis",806960,"ATH","FF","4-Seam Fastball",-0.2,-1,"430",52.4,"113","0.278","0.454","0.362",15.3,16.8,17.8,"0.292","0.519","0.389",51.9
"Buehler, Walker",621111,"PHI","FF","4-Seam Fastball",-1.6,-9,"554",25.3,"113","0.277","0.553","0.403",15,12.4,10.4,"0.316","0.672","0.46",54.3
"Cano, Yennier",666974,"BAL","SI","Sinker",1.4,6,"454",46,"112","0.234","0.309","0.307",20.2,15.2,19.8,"0.221","0.334","0.301",40
"Berríos, José",621244,"TOR","FF","4-Seam Fastball",-0.7,-3,"478",18.5,"112","0.305","0.474","0.397",14.9,13.4,11.2,"0.265","0.478","0.373",46.3
"Pfaadt, Brandon",694297,"AZ","CH","Changeup",-0.4,-2,"459",15.7,"112","0.278","0.435","0.321",28,12.5,11.7,"0.3","0.491","0.35",34
"Bassitt, Chris",605135,"TOR","CU","Curveball",1.2,5,"460",16.3,"112","0.17","0.29","0.244",31.4,25,18.8,"0.183","0.269","0.245",17.8
"Senzatela, Antonio",622608,"COL","SL","Slider",-1.3,-6,"447",19.6,"111","0.33","0.583","0.393",25.8,12.6,12.3,"0.314","0.574","0.38",38.7
"Lopez, Jacob",682052,"ATH","FF","4-Seam Fastball",-0.2,-1,"615",36.9,"111","0.22","0.44","0.351",28.6,37.8,22.5,"0.185","0.403","0.324",34
"Alcantara, Sandy",645261,"MIA","CU","Curveball",-1.4,-7,"521",18,"111","0.262","0.514","0.34",24.8,26.1,18,"0.265","0.516","0.342",41
"Brash, Matt",666374,"SEA","SL","Slider",1,5,"498",60.6,"110","0.224","0.286","0.272",36,31.8,25.7,"0.209","0.298","0.259",22.7
"Kolek, Stephen",663568,"KC","FF","4-Seam Fastball",0.6,3,"432",25.6,"110","0.2","0.389","0.297",15.4,22.7,16.8,"0.257","0.491","0.363",51.4
"Díaz, Edwin",621242,"NYM","FF","4-Seam Fastball",1.6,9,"561",52.6,"110","0.133","0.2","0.224",39.4,35.5,25.3,"0.183","0.305","0.288",45.5
"Junis, Jakob",596001,"CLE","SL","Slider",0.7,3,"459",44.5,"110","0.238","0.362","0.273",31.4,28.2,20.3,"0.228","0.367","0.269",33.3
"Domínguez, Seranthony",622554,"TOR","FF","4-Seam Fastball",0.2,1,"479",43.5,"110","0.218","0.356","0.358",26.7,26.4,24.2,"0.227","0.362","0.345",37.9
"Miller, Shelby",571946,"MIL","FF","4-Seam Fastball",1.9,8,"438",62.1,"109","0.235","0.296","0.261",26.1,27.5,26.1,"0.242","0.373","0.292",45.1
"Cameron, Noah",702070,"KC","FC","Cutter",-0.8,-4,"466",21.5,"109","0.283","0.489","0.384",22.7,5.5,10.5,"0.309","0.507","0.4",29.9
"Burke, Brock",656271,"LAA","FF","4-Seam Fastball",0.5,2,"431",42.5,"109","0.271","0.417","0.331",20.6,22.9,15.7,"0.275","0.463","0.349",45.9
"Bello, Brayan",678394,"BOS","CH","Changeup",-0.3,-1,"410",15.2,"109","0.219","0.324","0.252",32.8,20.2,17.2,"0.28","0.393","0.305",27.7
"Alcala, Jorge",660896,"STL","FF","4-Seam Fastball",-0.6,-3,"486",45.9,"108","0.247","0.573","0.391",29.2,22.2,16.4,"0.217","0.457","0.344",44.8
