"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Gausman, Kevin",592332,"TOR","FS","Split-Finger",0.8,9,"1138",37.6,"296","0.181","0.294","0.232",38.6,34.5,21.5,"0.196","0.294","0.229",29.7
"Kikuchi, Yusei",579328,"LAA","SL","Slider",0.4,4,"1121",36.2,"295","0.254","0.443","0.366",25,20,20,"0.273","0.491","0.387",44.4
"Pepiot, Ryan",686752,"TB","FF","4-Seam Fastball",-0.2,-2,"1216",45.1,"292","0.233","0.446","0.361",25.2,25,19.3,"0.22","0.398","0.339",46.5
"Warren, Will",701542,"NYY","FF","4-Seam Fastball",1,11,"1165",41.6,"291","0.216","0.384","0.31",23.2,24.7,21.9,"0.244","0.453","0.349",45.9
"Strider, Spencer",675911,"ATL","FF","4-Seam Fastball",-0.6,-6,"1081",51.2,"290","0.294","0.472","0.374",15.3,13.8,18.1,"0.314","0.554","0.405",43.3
"Rea, Colin",607067,"CHC","FF","4-Seam Fastball",0.1,1,"1066",42.1,"288","0.282","0.475","0.36",17,17,17.6,"0.286","0.502","0.364",48.6
"Smith, Shane",681343,"CWS","FF","4-Seam Fastball",1.7,19,"1108",45.8,"288","0.198","0.31","0.281",25.2,26,23.8,"0.211","0.363","0.299",40.2
"Paddack, Chris",663978,"DET","FF","4-Seam Fastball",0.3,3,"1134",44.2,"285","0.266","0.432","0.326",18.2,17.5,13.1,"0.281","0.489","0.348",47.4
"Priester, Quinn",682990,"MIL","SI","Sinker",0.6,6,"1029",41.7,"284","0.269","0.375","0.334",13.6,13.4,18.5,"0.28","0.395","0.333",41.5
"Bradley, Taj",671737,"MIN","FF","4-Seam Fastball",-0.7,-7,"1056",46.5,"283","0.297","0.506","0.404",17.8,12.4,14.7,"0.292","0.477","0.382",45.1
"deGrom, Jacob",594798,"TEX","SL","Slider",1.2,12,"983",37.6,"281","0.201","0.326","0.254",39,30.6,25.9,"0.232","0.362","0.278",38.9
"Bello, Brayan",678394,"BOS","SI","Sinker",0.8,7,"943",35,"280","0.251","0.305","0.337",10.8,14.3,19.1,"0.276","0.368","0.339",39.8
"Verlander, Justin",434378,"SF","FF","4-Seam Fastball",-0.1,-1,"1184",45.4,"280","0.279","0.48","0.375",18.9,15,13.4,"0.304","0.548","0.396",41.5
"Springs, Jeffrey",605488,"ATH","FF","4-Seam Fastball",-0.6,-7,"1215",42.7,"275","0.265","0.457","0.34",15.4,17.8,14.2,"0.28","0.501","0.367",44.5
"Morton, Charlie",450203,"ATL","CU","Curveball",-0.1,-1,"976",38.3,"275","0.228","0.386","0.318",37.9,32.4,23.2,"0.216","0.367","0.3",35.1
"Hendricks, Kyle",543294,"LAA","SI","Sinker",-0.9,-9,"982",38.2,"274","0.304","0.488","0.384",9.9,12,14.3,"0.283","0.441","0.341",40.2
"Elder, Bryce",693821,"ATL","SI","Sinker",-0.7,-7,"1058",42.1,"272","0.28","0.477","0.365",15.2,18,22.2,"0.266","0.471","0.352",49.2
"Valdez, Framber",664285,"HOU","CU","Curveball",-0.2,-2,"957",33.1,"271","0.193","0.298","0.273",43.7,44.6,29.9,"0.167","0.243","0.238",39
"Kochanowicz, Jack",686799,"LAA","SI","Sinker",-1.2,-10,"869",46.8,"268","0.332","0.474","0.389",14.4,8.6,13.5,"0.304","0.445","0.37",53.7
"Burke, Sean",680732,"CWS","FF","4-Seam Fastball",-0.2,-2,"1018",42.8,"267","0.237","0.382","0.336",24.5,28.5,21.3,"0.218","0.403","0.323",42.2
"Skubal, Tarik",669373,"DET","CH","Changeup",2.8,25,"895",31.4,"265","0.154","0.227","0.176",46.8,41.5,29.5,"0.172","0.257","0.191",27.8
"Imanaga, Shota",684007,"CHC","FF","4-Seam Fastball",-0.9,-10,"1059",48.7,"262","0.227","0.567","0.356",15.9,12.2,11.3,"0.268","0.626","0.397",51.2
"Baz, Shane",669358,"TB","FF","4-Seam Fastball",0.4,5,"1194",43.9,"261","0.244","0.406","0.35",23.5,23.8,20.6,"0.244","0.4","0.343",42.9
"Crochet, Garrett",676979,"BOS","FF","4-Seam Fastball",-0.7,-8,"1141",36.2,"261","0.26","0.485","0.361",30.2,37.9,25.8,"0.216","0.441","0.318",50.7
"Leiter, Jack",683004,"TEX","FF","4-Seam Fastball",0.7,7,"989",38.3,"259","0.211","0.33","0.307",21.8,24.7,17.9,"0.236","0.436","0.349",47.4
"Keller, Mitch",656605,"PIT","FF","4-Seam Fastball",0.1,2,"1064",37.1,"259","0.26","0.41","0.339",17.3,18.9,17.9,"0.292","0.454","0.366",41
"Sears, JP",676664,"SD","FF","4-Seam Fastball",-1.1,-10,"961",40.6,"258","0.283","0.524","0.381",20.4,22.1,16.2,"0.27","0.516","0.365",45.8
